"chromosome","position","strand","cellType","patient","reads","sampleReplicate","timePoint","timePointMonths","inferredCells","relativeAbundance","nearestGene","source","sample"
"chr12",6377095,"-","Tcells","p00007",77,"GTSP1132-1","m24",24,2,0.0259909031838856,"SCNN1A,LTBR","Illumina","GTSP1132"
"chr12",6450750,"-","Tcells","p00007",29,"GTSP1132-4","m24",24,1,0.0129954515919428,"CD27-AS1,CD27","Illumina","GTSP1132"
"chr12",66829963,"-","Tcells","p00007",93,"GTSP1132-1","m24",24,5,0.0649772579597141,"GRIP1","Illumina","GTSP1132"
"chr12",92166180,"-","Tcells","p00007",31,"GTSP1132-4","m24",24,1,0.0129954515919428,"LOC101928617","Illumina","GTSP1132"
"chr12",93767937,"-","Tcells","p00007",31,"GTSP1132-1","m24",24,2,0.0259909031838856,"CRADD","Illumina","GTSP1132"
"chr12",9732181,"-","Tcells","p00007",3,"GTSP1132-1","m24",24,2,0.0259909031838856,"CLECL1","Illumina","GTSP1132"
"chr12",9995784,"-","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"CLEC1B","Illumina","GTSP1132"
"chr12",10054469,"+","Tcells","p00007",136,"GTSP1132-1","m24",24,6,0.0779727095516569,"CLEC9A","Illumina","GTSP1132"
"chr12",108633584,"+","Tcells","p00007",21,"GTSP1132-1","m24",24,1,0.0129954515919428,"SELPLG","Illumina","GTSP1132"
"chr12",110743377,"+","Tcells","p00007",43,"GTSP1132-1","m24",24,3,0.0389863547758285,"PPP1CC","Illumina","GTSP1132"
"chr12",116359838,"+","Tcells","p00007",63,"GTSP1132-1","m24",24,1,0.0129954515919428,"MIR4472-2","Illumina","GTSP1132"
"chr12",116636855,"+","Tcells","p00007",72,"GTSP1132-2","m24",24,4,0.0519818063677713,"MAP1LC3B2","Illumina","GTSP1132"
"chr12",120539172,"+","Tcells","p00007",85,"GTSP1132-2","m24",24,2,0.0259909031838856,"RNF10","Illumina","GTSP1132"
"chr12",121659979,"+","Tcells","p00007",28,"GTSP1132-1","m24",24,5,0.0649772579597141,"MORN3","Illumina","GTSP1132"
"chr12",121801859,"+","Tcells","p00007",51,"GTSP1132-3","m24",24,1,0.0129954515919428,"LINC01089","Illumina","GTSP1132"
"chr12",121969216,"+","Tcells","p00007",9,"GTSP1132-2","m24",24,2,0.0259909031838856,"WDR66","Illumina","GTSP1132"
"chr12",122884989,"+","Tcells","p00007",74,"GTSP1132-1","m24",24,7,0.0909681611435997,"VPS37B","Illumina","GTSP1132"
"chr12",14962802,"+","Tcells","p00007",28,"GTSP1132-1","m24",24,1,0.0129954515919428,"ARHGDIB","Illumina","GTSP1132"
"chr12",24825959,"+","Tcells","p00007",62,"GTSP1132-2","m24",24,5,0.0649772579597141,"BCAT1","Illumina","GTSP1132"
"chr12",26749717,"+","Tcells","p00007",6,"GTSP1132-2","m24",24,2,0.0259909031838856,"ITPR2","Illumina","GTSP1132"
"chr12",27461992,"+","Tcells","p00007",146,"GTSP1132-1","m24",24,7,0.0909681611435997,"SMCO2","Illumina","GTSP1132"
"chr12",32532761,"+","Tcells","p00007",8,"GTSP1132-2","m24",24,1,0.0129954515919428,"FGD4","Illumina","GTSP1132"
"chr12",49706062,"+","Tcells","p00007",17,"GTSP1132-2","m24",24,4,0.0519818063677713,"FMNL3","Illumina","GTSP1132"
"chr12",54303665,"+","Tcells","p00007",7,"GTSP1132-3","m24",24,1,0.0129954515919428,"NFE2","Illumina","GTSP1132"
"chr12",54307731,"+","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"NFE2","Illumina","GTSP1132"
"chr12",54412715,"+","Tcells","p00007",9,"GTSP1132-3","m24",24,1,0.0129954515919428,"LOC102724050,ITGA5","Illumina","GTSP1132"
"chr12",55926016,"+","Tcells","p00007",5,"GTSP1132-4","m24",24,1,0.0129954515919428,"PYM1","Illumina","GTSP1132"
"chr12",57079264,"+","Tcells","p00007",896,"GTSP1132-1","m24",24,35,0.454840805717999,"NEMP1","Illumina","GTSP1132"
"chr12",57893701,"+","Tcells","p00007",34,"GTSP1132-1","m24",24,2,0.0259909031838856,"LOC100506844","Illumina","GTSP1132"
"chr12",57895511,"+","Tcells","p00007",48,"GTSP1132-4","m24",24,1,0.0129954515919428,"LOC100506844","Illumina","GTSP1132"
"chr12",6337045,"+","Tcells","p00007",574,"GTSP1132-1","m24",24,35,0.454840805717999,"TNFRSF1A","Illumina","GTSP1132"
"chr12",64623564,"+","Tcells","p00007",1772,"GTSP1132-1","m24",24,73,0.948667966211826,"RASSF3","Illumina","GTSP1132"
"chr12",68364370,"+","Tcells","p00007",30,"GTSP1132-3","m24",24,1,0.0129954515919428,"MDM1","Illumina","GTSP1132"
"chr12",68538505,"+","Tcells","p00007",2,"GTSP1132-1","m24",24,1,0.0129954515919428,"RAP1B","Illumina","GTSP1132"
"chr12",69348829,"+","Tcells","p00007",38,"GTSP1132-1","m24",24,1,0.0129954515919428,"LYZ","Illumina","GTSP1132"
"chr12",751596,"+","Tcells","p00007",65,"GTSP1132-1","m24",24,5,0.0649772579597141,"WNK1","Illumina","GTSP1132"
"chr12",9655591,"+","Tcells","p00007",77,"GTSP1132-4","m24",24,1,0.0129954515919428,"LOC374443","Illumina","GTSP1132"
"chr12",9707952,"+","Tcells","p00007",23,"GTSP1132-1","m24",24,4,0.0519818063677713,"CLECL1","Illumina","GTSP1132"
"chr13",24268082,"-","Tcells","p00007",26,"GTSP1132-2","m24",24,1,0.0129954515919428,"SPATA13","Illumina","GTSP1132"
"chr13",39958436,"-","Tcells","p00007",57,"GTSP1132-1","m24",24,2,0.0259909031838856,"COG6","Illumina","GTSP1132"
"chr13",41007426,"-","Tcells","p00007",176,"GTSP1132-1","m24",24,12,0.155945419103314,"ELF1","Illumina","GTSP1132"
"chr13",44248960,"-","Tcells","p00007",139,"GTSP1132-1","m24",24,6,0.0779727095516569,"MIR8079","Illumina","GTSP1132"
"chr13",44485233,"-","Tcells","p00007",49,"GTSP1132-1","m24",24,4,0.0519818063677713,"TSC22D1","Illumina","GTSP1132"
"chr13",46531885,"-","Tcells","p00007",9,"GTSP1132-3","m24",24,3,0.0389863547758285,"LRCH1","Illumina","GTSP1132"
"chr13",48493215,"-","Tcells","p00007",42,"GTSP1132-3","m24",24,1,0.0129954515919428,"RCBTB2","Illumina","GTSP1132"
"chr13",49251070,"-","Tcells","p00007",19,"GTSP1132-1","m24",24,1,0.0129954515919428,"CDADC1","Illumina","GTSP1132"
"chr13",49444841,"-","Tcells","p00007",343,"GTSP1132-1","m24",24,15,0.194931773879142,"SETDB2,SETDB2-PHF11","Illumina","GTSP1132"
"chr13",77298134,"-","Tcells","p00007",80,"GTSP1132-2","m24",24,7,0.0909681611435997,"MYCBP2","Illumina","GTSP1132"
"chr13",77768971,"-","Tcells","p00007",20,"GTSP1132-1","m24",24,1,0.0129954515919428,"SLAIN1","Illumina","GTSP1132"
"chr13",87121620,"-","Tcells","p00007",156,"GTSP1132-2","m24",24,9,0.116959064327485,"LINC00430","Illumina","GTSP1132"
"chr13",95136147,"-","Tcells","p00007",14,"GTSP1132-1","m24",24,1,0.0129954515919428,"ABCC4","Illumina","GTSP1132"
"chr13",99497027,"-","Tcells","p00007",76,"GTSP1132-1","m24",24,6,0.0779727095516569,"LINC01232","Illumina","GTSP1132"
"chr13",102775614,"+","Tcells","p00007",12,"GTSP1132-1","m24",24,1,0.0129954515919428,"TEX30","Illumina","GTSP1132"
"chr13",44274289,"+","Tcells","p00007",48,"GTSP1132-4","m24",24,1,0.0129954515919428,"MIR8079","Illumina","GTSP1132"
"chr13",49401883,"+","Tcells","p00007",27,"GTSP1132-2","m24",24,1,0.0129954515919428,"CAB39L","Illumina","GTSP1132"
"chr13",49692130,"+","Tcells","p00007",11,"GTSP1132-4","m24",24,1,0.0129954515919428,"EBPL","Illumina","GTSP1132"
"chr13",50893314,"+","Tcells","p00007",170,"GTSP1132-1","m24",24,12,0.155945419103314,"RNASEH2B-AS1","Illumina","GTSP1132"
"chr13",50910471,"+","Tcells","p00007",2139,"GTSP1132-1","m24",24,84,1.0916179337232,"RNASEH2B-AS1,RNASEH2B","Illumina","GTSP1132"
"chr13",52651813,"+","Tcells","p00007",3,"GTSP1132-3","m24",24,1,0.0129954515919428,"SUGT1","Illumina","GTSP1132"
"chr13",67764650,"+","Tcells","p00007",25,"GTSP1132-2","m24",24,1,0.0129954515919428,"LINC00364","Illumina","GTSP1132"
"chr13",94458536,"+","Tcells","p00007",1,"GTSP1132-4","m24",24,1,0.0129954515919428,"DCT","Illumina","GTSP1132"
"chr13",97226319,"+","Tcells","p00007",9,"GTSP1132-2","m24",24,1,0.0129954515919428,"MBNL2","Illumina","GTSP1132"
"chr14",22097332,"-","Tcells","p00007",9,"GTSP1132-3","m24",24,2,0.0259909031838856,"OR4E1","Illumina","GTSP1132"
"chr14",24673082,"-","Tcells","p00007",7,"GTSP1132-1","m24",24,1,0.0129954515919428,"GZMB","Illumina","GTSP1132"
"chr14",35287758,"-","Tcells","p00007",128,"GTSP1132-1","m24",24,9,0.116959064327485,"PSMA6","Illumina","GTSP1132"
"chr14",50041020,"-","Tcells","p00007",448,"GTSP1132-1","m24",24,17,0.220922677063028,"LINC01599","Illumina","GTSP1132"
"chr14",55645633,"-","Tcells","p00007",7,"GTSP1132-2","m24",24,1,0.0129954515919428,"KTN1","Illumina","GTSP1132"
"chr14",61661527,"-","Tcells","p00007",37,"GTSP1132-2","m24",24,2,0.0259909031838856,"FLJ22447","Illumina","GTSP1132"
"chr14",68797209,"-","Tcells","p00007",139,"GTSP1132-1","m24",24,7,0.0909681611435997,"ZFP36L1","Illumina","GTSP1132"
"chr14",68819870,"-","Tcells","p00007",111,"GTSP1132-2","m24",24,5,0.0649772579597141,"ZFP36L1","Illumina","GTSP1132"
"chr14",75068975,"-","Tcells","p00007",38,"GTSP1132-2","m24",24,3,0.0389863547758285,"ACYP1","Illumina","GTSP1132"
"chr14",89619489,"-","Tcells","p00007",43,"GTSP1132-4","m24",24,2,0.0259909031838856,"FOXN3","Illumina","GTSP1132"
"chr14",100079884,"+","Tcells","p00007",370,"GTSP1132-1","m24",24,12,0.155945419103314,"EVL","Illumina","GTSP1132"
"chr14",100318048,"+","Tcells","p00007",47,"GTSP1132-1","m24",24,5,0.0649772579597141,"SLC25A47","Illumina","GTSP1132"
"chr14",103118681,"+","Tcells","p00007",3,"GTSP1132-2","m24",24,2,0.0259909031838856,"LINC00677","Illumina","GTSP1132"
"chr14",103120823,"+","Tcells","p00007",24,"GTSP1132-1","m24",24,3,0.0389863547758285,"LINC00677","Illumina","GTSP1132"
"chr14",22430577,"+","Tcells","p00007",22,"GTSP1132-2","m24",24,3,0.0389863547758285,"DAD1","Illumina","GTSP1132"
"chr14",23464759,"+","Tcells","p00007",220,"GTSP1132-1","m24",24,6,0.0779727095516569,"NGDN","Illumina","GTSP1132"
"chr14",35365671,"+","Tcells","p00007",409,"GTSP1132-1","m24",24,24,0.311890838206628,"NFKBIA","Illumina","GTSP1132"
"chr14",35368222,"+","Tcells","p00007",121,"GTSP1132-1","m24",24,9,0.116959064327485,"NFKBIA","Illumina","GTSP1132"
"chr14",35368272,"+","Tcells","p00007",35,"GTSP1132-1","m24",24,2,0.0259909031838856,"NFKBIA","Illumina","GTSP1132"
"chr14",49599522,"+","Tcells","p00007",51,"GTSP1132-1","m24",24,5,0.0649772579597141,"LRR1","Illumina","GTSP1132"
"chr14",49970582,"+","Tcells","p00007",27,"GTSP1132-1","m24",24,3,0.0389863547758285,"MIR6076","Illumina","GTSP1132"
"chr14",53109380,"+","Tcells","p00007",16,"GTSP1132-2","m24",24,1,0.0129954515919428,"DDHD1","Illumina","GTSP1132"
"chr14",73755055,"+","Tcells","p00007",29,"GTSP1132-4","m24",24,1,0.0129954515919428,"ELMSAN1","Illumina","GTSP1132"
"chr14",76962428,"+","Tcells","p00007",365,"GTSP1132-1","m24",24,23,0.298895386614685,"LINC01629","Illumina","GTSP1132"
"chr14",77038591,"+","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"LOC283575","Illumina","GTSP1132"
"chr14",92652894,"+","Tcells","p00007",28,"GTSP1132-4","m24",24,1,0.0129954515919428,"RIN3","Illumina","GTSP1132"
"chr14",95520045,"+","Tcells","p00007",9,"GTSP1132-3","m24",24,1,0.0129954515919428,"SNHG10","Illumina","GTSP1132"
"chr15",25863846,"-","Tcells","p00007",49,"GTSP1132-1","m24",24,1,0.0129954515919428,"ATP10A","Illumina","GTSP1132"
"chr15",59689679,"-","Tcells","p00007",393,"GTSP1132-1","m24",24,14,0.181936322287199,"BNIP2","Illumina","GTSP1132"
"chr15",63842229,"-","Tcells","p00007",115,"GTSP1132-1","m24",24,9,0.116959064327485,"HERC1","Illumina","GTSP1132"
"chr15",69668391,"-","Tcells","p00007",60,"GTSP1132-2","m24",24,1,0.0129954515919428,"PCAT29","Illumina","GTSP1132"
"chr15",73924858,"-","Tcells","p00007",758,"GTSP1132-1","m24",24,39,0.50682261208577,"LOXL1-AS1","Illumina","GTSP1132"
"chr15",74385664,"-","Tcells","p00007",45,"GTSP1132-2","m24",24,1,0.0129954515919428,"CYP11A1","Illumina","GTSP1132"
"chr15",78069759,"-","Tcells","p00007",416,"GTSP1132-1","m24",24,12,0.155945419103314,"TBC1D2B","Illumina","GTSP1132"
"chr15",90035019,"-","Tcells","p00007",75,"GTSP1132-1","m24",24,4,0.0519818063677713,"ZNF710","Illumina","GTSP1132"
"chr15",92904626,"-","Tcells","p00007",125,"GTSP1132-2","m24",24,4,0.0519818063677713,"CHD2","Illumina","GTSP1132"
"chr15",40099299,"+","Tcells","p00007",276,"GTSP1132-2","m24",24,5,0.0649772579597141,"BMF","Illumina","GTSP1132"
"chr15",59686784,"+","Tcells","p00007",16,"GTSP1132-2","m24",24,2,0.0259909031838856,"BNIP2","Illumina","GTSP1132"
"chr15",66617116,"+","Tcells","p00007",311,"GTSP1132-1","m24",24,6,0.0779727095516569,"LINC01169","Illumina","GTSP1132"
"chr15",67098230,"+","Tcells","p00007",2,"GTSP1132-4","m24",24,1,0.0129954515919428,"SMAD3","Illumina","GTSP1132"
"chr15",68818023,"+","Tcells","p00007",24,"GTSP1132-1","m24",24,2,0.0259909031838856,"ANP32A","Illumina","GTSP1132"
"chr15",70446609,"+","Tcells","p00007",14,"GTSP1132-3","m24",24,1,0.0129954515919428,"LINC02204","Illumina","GTSP1132"
"chr15",74782860,"+","Tcells","p00007",223,"GTSP1132-1","m24",24,18,0.233918128654971,"CSK","Illumina","GTSP1132"
"chr15",75009506,"+","Tcells","p00007",674,"GTSP1132-1","m24",24,41,0.532813515269656,"SCAMP5","Illumina","GTSP1132"
"chr15",75626159,"+","Tcells","p00007",30,"GTSP1132-2","m24",24,2,0.0259909031838856,"SNUPN","Illumina","GTSP1132"
"chr15",77761569,"+","Tcells","p00007",68,"GTSP1132-2","m24",24,5,0.0649772579597141,"LINGO1","Illumina","GTSP1132"
"chr15",78167457,"+","Tcells","p00007",32,"GTSP1132-4","m24",24,1,0.0129954515919428,"IDH3A","Illumina","GTSP1132"
"chr15",82856170,"+","Tcells","p00007",92,"GTSP1132-3","m24",24,1,0.0129954515919428,"HOMER2","Illumina","GTSP1132"
"chr15",90033989,"+","Tcells","p00007",64,"GTSP1132-1","m24",24,2,0.0259909031838856,"ZNF710","Illumina","GTSP1132"
"chr15",90037768,"+","Tcells","p00007",32,"GTSP1132-1","m24",24,2,0.0259909031838856,"ZNF710","Illumina","GTSP1132"
"chr15",92809862,"+","Tcells","p00007",53,"GTSP1132-2","m24",24,3,0.0389863547758285,"ASB9P1","Illumina","GTSP1132"
"chr15",93042280,"+","Tcells","p00007",4,"GTSP1132-2","m24",24,1,0.0129954515919428,"RGMA","Illumina","GTSP1132"
"chr15",94205674,"+","Tcells","p00007",14,"GTSP1132-2","m24",24,1,0.0129954515919428,"MCTP2","Illumina","GTSP1132"
"chr15",98718720,"+","Tcells","p00007",4,"GTSP1132-1","m24",24,1,0.0129954515919428,"IGF1R","Illumina","GTSP1132"
"chr15",98734567,"+","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"IGF1R","Illumina","GTSP1132"
"chr16_KI270853v1_alt",1570392,"-","Tcells","p00007",2,"GTSP1132-2","m24",24,2,0.0259909031838856,"FOPNL","Illumina","GTSP1132"
"chr16",11241187,"-","Tcells","p00007",185,"GTSP1132-1","m24",24,17,0.220922677063028,"SOCS1","Illumina","GTSP1132"
"chr16",16075427,"-","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"ABCC1","Illumina","GTSP1132"
"chr16",1647310,"-","Tcells","p00007",1241,"GTSP1132-1","m24",24,60,0.779727095516569,"CRAMP1","Illumina","GTSP1132"
"chr16",17377697,"-","Tcells","p00007",1,"GTSP1132-2","m24",24,1,0.0129954515919428,"XYLT1","Illumina","GTSP1132"
"chr16",27405429,"-","Tcells","p00007",67,"GTSP1132-2","m24",24,7,0.0909681611435997,"IL21R","Illumina","GTSP1132"
"chr16",29661580,"-","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"SPN","Illumina","GTSP1132"
"chr16",29661593,"-","Tcells","p00007",2839,"GTSP1132-1","m24",24,148,1.92332683560754,"SPN","Illumina","GTSP1132"
"chr16",50667043,"-","Tcells","p00007",431,"GTSP1132-1","m24",24,21,0.272904483430799,"SNX20","Illumina","GTSP1132"
"chr16",56262761,"-","Tcells","p00007",18,"GTSP1132-2","m24",24,1,0.0129954515919428,"GNAO1","Illumina","GTSP1132"
"chr16",60106047,"-","Tcells","p00007",72,"GTSP1132-2","m24",24,2,0.0259909031838856,"LINC02141","Illumina","GTSP1132"
"chr16",66368190,"-","Tcells","p00007",86,"GTSP1132-1","m24",24,5,0.0649772579597141,"CDH5","Illumina","GTSP1132"
"chr16",67244782,"-","Tcells","p00007",550,"GTSP1132-1","m24",24,36,0.467836257309942,"FHOD1","Illumina","GTSP1132"
"chr16",6777298,"-","Tcells","p00007",1476,"GTSP1132-1","m24",24,55,0.714749837556855,"RBFOX1","Illumina","GTSP1132"
"chr16",75108571,"-","Tcells","p00007",1,"GTSP1132-4","m24",24,1,0.0129954515919428,"ZNRF1","Illumina","GTSP1132"
"chr16",84600572,"-","Tcells","p00007",1,"GTSP1132-2","m24",24,1,0.0129954515919428,"COTL1","Illumina","GTSP1132"
"chr16",85572249,"-","Tcells","p00007",25,"GTSP1132-4","m24",24,1,0.0129954515919428,"GSE1","Illumina","GTSP1132"
"chr16",88793278,"-","Tcells","p00007",135,"GTSP1132-3","m24",24,4,0.0519818063677713,"PIEZO1","Illumina","GTSP1132"
"chr16",88978217,"-","Tcells","p00007",11,"GTSP1132-3","m24",24,1,0.0129954515919428,"CBFA2T3","Illumina","GTSP1132"
"chr16",12354197,"+","Tcells","p00007",7,"GTSP1132-1","m24",24,1,0.0129954515919428,"SNX29","Illumina","GTSP1132"
"chr16",2009126,"+","Tcells","p00007",679,"GTSP1132-1","m24",24,22,0.285899935022742,"ZNF598","Illumina","GTSP1132"
"chr16",20746310,"+","Tcells","p00007",4,"GTSP1132-1","m24",24,1,0.0129954515919428,"THUMPD1","Illumina","GTSP1132"
"chr16",21507085,"+","Tcells","p00007",2,"GTSP1132-2","m24",24,1,0.0129954515919428,"MIR3680-2,MIR3680-1","Illumina","GTSP1132"
"chr16",29600222,"+","Tcells","p00007",71,"GTSP1132-1","m24",24,21,0.272904483430799,"SMG1P2","Illumina","GTSP1132"
"chr16",29661827,"+","Tcells","p00007",14,"GTSP1132-1","m24",24,4,0.0519818063677713,"SPN","Illumina","GTSP1132"
"chr16",30122476,"+","Tcells","p00007",536,"GTSP1132-1","m24",24,27,0.350877192982456,"MAPK3","Illumina","GTSP1132"
"chr16",3101124,"+","Tcells","p00007",33,"GTSP1132-2","m24",24,4,0.0519818063677713,"ZSCAN10","Illumina","GTSP1132"
"chr16",47494154,"+","Tcells","p00007",32,"GTSP1132-2","m24",24,2,0.0259909031838856,"PHKB","Illumina","GTSP1132"
"chr16",49595935,"+","Tcells","p00007",2,"GTSP1132-1","m24",24,1,0.0129954515919428,"ZNF423","Illumina","GTSP1132"
"chr16",57533520,"+","Tcells","p00007",104,"GTSP1132-2","m24",24,6,0.0779727095516569,"CCDC102A","Illumina","GTSP1132"
"chr16",66516415,"+","Tcells","p00007",2,"GTSP1132-3","m24",24,1,0.0129954515919428,"TK2","Illumina","GTSP1132"
"chr16",70429236,"+","Tcells","p00007",31,"GTSP1132-1","m24",24,5,0.0649772579597141,"ST3GAL2","Illumina","GTSP1132"
"chr16",74667882,"+","Tcells","p00007",1148,"GTSP1132-1","m24",24,54,0.701754385964912,"RFWD3","Illumina","GTSP1132"
"chr16",80997535,"+","Tcells","p00007",190,"GTSP1132-1","m24",24,1,0.0129954515919428,"CMC2","Illumina","GTSP1132"
"chr16",81737200,"+","Tcells","p00007",11,"GTSP1132-3","m24",24,1,0.0129954515919428,"CMIP","Illumina","GTSP1132"
"chr16",81798614,"+","Tcells","p00007",133,"GTSP1132-1","m24",24,2,0.0259909031838856,"PLCG2","Illumina","GTSP1132"
"chr16",82137310,"+","Tcells","p00007",255,"GTSP1132-1","m24",24,6,0.0779727095516569,"MPHOSPH6","Illumina","GTSP1132"
"chr16",82154267,"+","Tcells","p00007",310,"GTSP1132-1","m24",24,14,0.181936322287199,"MPHOSPH6","Illumina","GTSP1132"
"chr16",84728863,"+","Tcells","p00007",9,"GTSP1132-1","m24",24,3,0.0389863547758285,"USP10","Illumina","GTSP1132"
"chr16",85158269,"+","Tcells","p00007",238,"GTSP1132-1","m24",24,14,0.181936322287199,"LINC02139","Illumina","GTSP1132"
"chr16",88781009,"+","Tcells","p00007",5,"GTSP1132-3","m24",24,1,0.0129954515919428,"PIEZO1","Illumina","GTSP1132"
"chr17",19065139,"-","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"SNORD3B-1,SNORD3B-2","Illumina","GTSP1132"
"chr17",28661589,"-","Tcells","p00007",354,"GTSP1132-1","m24",24,20,0.259909031838856,"SDF2","Illumina","GTSP1132"
"chr17",39660193,"-","Tcells","p00007",36,"GTSP1132-2","m24",24,2,0.0259909031838856,"STARD3","Illumina","GTSP1132"
"chr17",43170804,"-","Tcells","p00007",1,"GTSP1132-1","m24",24,1,0.0129954515919428,"NBR1","Illumina","GTSP1132"
"chr17",43369822,"-","Tcells","p00007",37,"GTSP1132-2","m24",24,4,0.0519818063677713,"LINC00910","Illumina","GTSP1132"
"chr17",48595881,"-","Tcells","p00007",341,"GTSP1132-1","m24",24,24,0.311890838206628,"HOXB-AS3,HOXB6","Illumina","GTSP1132"
"chr17",5020578,"-","Tcells","p00007",61,"GTSP1132-1","m24",24,2,0.0259909031838856,"KIF1C","Illumina","GTSP1132"
"chr17",55281683,"-","Tcells","p00007",43,"GTSP1132-1","m24",24,1,0.0129954515919428,"HLF","Illumina","GTSP1132"
"chr17",57950018,"-","Tcells","p00007",3,"GTSP1132-2","m24",24,1,0.0129954515919428,"CUEDC1","Illumina","GTSP1132"
"chr17",58334640,"-","Tcells","p00007",841,"GTSP1132-1","m24",24,36,0.467836257309942,"TSPOAP1-AS1","Illumina","GTSP1132"
"chr17",58339901,"-","Tcells","p00007",25,"GTSP1132-4","m24",24,1,0.0129954515919428,"TSPOAP1-AS1","Illumina","GTSP1132"
"chr17",58692399,"-","Tcells","p00007",3,"GTSP1132-2","m24",24,1,0.0129954515919428,"RAD51C","Illumina","GTSP1132"
"chr17",59275033,"-","Tcells","p00007",23,"GTSP1132-2","m24",24,2,0.0259909031838856,"GDPD1","Illumina","GTSP1132"
"chr17",64987132,"-","Tcells","p00007",1268,"GTSP1132-1","m24",24,72,0.935672514619883,"AMZ2P1","Illumina","GTSP1132"
"chr17",67444411,"-","Tcells","p00007",2243,"GTSP1132-1","m24",24,81,1.05263157894737,"PITPNC1","Illumina","GTSP1132"
"chr17",67768220,"-","Tcells","p00007",3,"GTSP1132-2","m24",24,1,0.0129954515919428,"NOL11","Illumina","GTSP1132"
"chr17",68509985,"-","Tcells","p00007",364,"GTSP1132-1","m24",24,23,0.298895386614685,"PRKAR1A","Illumina","GTSP1132"
"chr17",69092412,"-","Tcells","p00007",44,"GTSP1132-1","m24",24,4,0.0519818063677713,"ABCA6","Illumina","GTSP1132"
"chr17",76146105,"-","Tcells","p00007",115,"GTSP1132-2","m24",24,2,0.0259909031838856,"RNF157-AS1,RNF157","Illumina","GTSP1132"
"chr17",76383825,"-","Tcells","p00007",29,"GTSP1132-1","m24",24,5,0.0649772579597141,"SPHK1","Illumina","GTSP1132"
"chr17",77439400,"-","Tcells","p00007",178,"GTSP1132-1","m24",24,10,0.129954515919428,"SEPT9","Illumina","GTSP1132"
"chr17",78131526,"-","Tcells","p00007",4,"GTSP1132-3","m24",24,1,0.0129954515919428,"TMC6,TMC8","Illumina","GTSP1132"
"chr17",78262468,"-","Tcells","p00007",2,"GTSP1132-1","m24",24,1,0.0129954515919428,"LINC01993","Illumina","GTSP1132"
"chr17",78735416,"-","Tcells","p00007",1,"GTSP1132-4","m24",24,1,0.0129954515919428,"CYTH1","Illumina","GTSP1132"
"chr17",7968429,"-","Tcells","p00007",1071,"GTSP1132-1","m24",24,53,0.688758934372969,"CNTROB","Illumina","GTSP1132"
"chr17",81976590,"-","Tcells","p00007",192,"GTSP1132-1","m24",24,13,0.168940870695257,"ASPSCR1","Illumina","GTSP1132"
"chr17",82860523,"-","Tcells","p00007",131,"GTSP1132-2","m24",24,7,0.0909681611435997,"TBCD","Illumina","GTSP1132"
"chr17",82884022,"-","Tcells","p00007",198,"GTSP1132-1","m24",24,13,0.168940870695257,"TBCD","Illumina","GTSP1132"
"chr17",83195910,"-","Tcells","p00007",14,"GTSP1132-1","m24",24,2,0.0259909031838856,"RPL23AP87","Illumina","GTSP1132"
"chr17",8698362,"-","Tcells","p00007",42,"GTSP1132-1","m24",24,3,0.0389863547758285,"CCDC42","Illumina","GTSP1132"
"chr17",9474855,"-","Tcells","p00007",2,"GTSP1132-1","m24",24,1,0.0129954515919428,"STX8","Illumina","GTSP1132"
"chr17",17759770,"+","Tcells","p00007",19,"GTSP1132-1","m24",24,2,0.0259909031838856,"RAI1,RAI1-AS1","Illumina","GTSP1132"
"chr17",20074280,"+","Tcells","p00007",2,"GTSP1132-3","m24",24,1,0.0129954515919428,"SPECC1","Illumina","GTSP1132"
"chr17",28812063,"+","Tcells","p00007",108,"GTSP1132-2","m24",24,3,0.0389863547758285,"FAM222B","Illumina","GTSP1132"
"chr17",28950437,"+","Tcells","p00007",143,"GTSP1132-1","m24",24,4,0.0519818063677713,"PHF12","Illumina","GTSP1132"
"chr17",34981600,"+","Tcells","p00007",30,"GTSP1132-1","m24",24,1,0.0129954515919428,"LIG3","Illumina","GTSP1132"
"chr17",48851698,"+","Tcells","p00007",178,"GTSP1132-1","m24",24,5,0.0649772579597141,"CALCOCO2","Illumina","GTSP1132"
"chr17",49747564,"+","Tcells","p00007",268,"GTSP1132-1","m24",24,14,0.181936322287199,"FAM117A","Illumina","GTSP1132"
"chr17",50661612,"+","Tcells","p00007",91,"GTSP1132-2","m24",24,6,0.0779727095516569,"ABCC3","Illumina","GTSP1132"
"chr17",56832916,"+","Tcells","p00007",83,"GTSP1132-3","m24",24,3,0.0389863547758285,"C17ORF67","Illumina","GTSP1132"
"chr17",58219682,"+","Tcells","p00007",31,"GTSP1132-2","m24",24,5,0.0649772579597141,"MKS1","Illumina","GTSP1132"
"chr17",59162862,"+","Tcells","p00007",291,"GTSP1132-1","m24",24,16,0.207927225471085,"PRR11","Illumina","GTSP1132"
